model,metric,seed,value
image,acc,1,0.699825479930192
image,acc,2,0.6980802792321117
image,acc,3,0.7033158813263525
image,macro_f1,1,0.6990546218487395
image,macro_f1,2,0.6947331467161848
image,macro_f1,3,0.7031630911750366
image,roc_auc,1,0.7752254343735492
image,roc_auc,2,0.7702402189584804
image,roc_auc,3,0.7637276703892877
image,avg_precision,1,0.7616667280922562
image,avg_precision,2,0.7663963372228574
image,avg_precision,3,0.7385081633714021
text,acc,1,0.8429319371727748
text,acc,2,0.8568935427574171
text,acc,3,0.8534031413612565
text,macro_f1,1,0.8424092409240924
text,macro_f1,2,0.8565750915750916
text,macro_f1,3,0.8514921136425344
text,roc_auc,1,0.92104298526429
text,roc_auc,2,0.9279098751252413
text,roc_auc,3,0.9304024828327777
text,avg_precision,1,0.9205951074233087
text,avg_precision,2,0.9327906349576951
text,avg_precision,3,0.9285060402417626
fusion,acc,1,0.8534031413612565
fusion,acc,2,0.8568935427574171
fusion,acc,3,0.8691099476439791
fusion,macro_f1,1,0.8514921136425344
fusion,macro_f1,2,0.8567360230266368
fusion,macro_f1,3,0.8685912430855602
fusion,roc_auc,1,0.9272256298721934
fusion,roc_auc,2,0.926675789936707
fusion,roc_auc,3,0.931367757386181
fusion,avg_precision,1,0.9309080292048251
fusion,avg_precision,2,0.9243414140396725
fusion,avg_precision,3,0.931955702035223
fusion_ocr,acc,1,0.881326352530541
fusion_ocr,acc,2,0.8516579406631762
fusion_ocr,acc,3,0.8691099476439791
fusion_ocr,macro_f1,1,0.8807156327300335
fusion_ocr,macro_f1,2,0.8496633978757488
fusion_ocr,macro_f1,3,0.8682609215451254
fusion_ocr,roc_auc,1,0.9373426846851236
fusion_ocr,roc_auc,2,0.9280320617775729
fusion_ocr,roc_auc,3,0.9362185674836865
fusion_ocr,avg_precision,1,0.9393757915903831
fusion_ocr,avg_precision,2,0.9336951124457907
fusion_ocr,avg_precision,3,0.9378293470966612
